case	rep	j	r	k	guesses
2 	 14 	 0 	 0 	 0 	 [0, 0]
2 	 15 	 192 	 4 	 3 	 [3, 5]
2 	 16 	 69 	 15 	 4 	 [1, 3]
2 	 17 	 2 	 1 	 0 	 [15, 1]
2 	 18 	 4 	 1 	 0 	 [15, 1]
2 	 19 	 64 	 4 	 1 	 [3, 5]
2 	 20 	 196 	 13 	 10 	 [3, 5]
2 	 21 	 0 	 0 	 0 	 [0, 0]
2 	 22 	 0 	 0 	 0 	 [0, 0]
2 	 23 	 1 	 1 	 0 	 [15, 1]
2 	 24 	 162 	 11 	 7 	 [1, 3]
2 	 25 	 0 	 0 	 0 	 [0, 0]
2 	 26 	 1 	 1 	 0 	 [15, 1]
2 	 27 	 64 	 4 	 1 	 [3, 5]
2 	 28 	 80 	 13 	 4 	 [3, 5]
2 	 29 	 130 	 2 	 1 	 [1, 3]
2 	 30 	 148 	 12 	 7 	 [3, 5]
2 	 31 	 72 	 7 	 2 	 [1, 3]
2 	 32 	 0 	 0 	 0 	 [0, 0]
2 	 33 	 224 	 8 	 7 	 [15, 1]
2 	 34 	 192 	 4 	 3 	 [3, 5]
2 	 35 	 128 	 2 	 1 	 [1, 3]
2 	 36 	 64 	 4 	 1 	 [3, 5]
2 	 37 	 0 	 0 	 0 	 [0, 0]
2 	 38 	 192 	 4 	 3 	 [3, 5]
2 	 39 	 98 	 13 	 5 	 [3, 5]
2 	 40 	 144 	 9 	 5 	 [15, 1]
2 	 41 	 132 	 2 	 1 	 [1, 3]
2 	 42 	 224 	 8 	 7 	 [15, 1]
2 	 43 	 0 	 0 	 0 	 [0, 0]
2 	 44 	 48 	 11 	 2 	 [1, 3]
2 	 45 	 176 	 13 	 9 	 [3, 5]
2 	 46 	 16 	 15 	 1 	 [1, 3]
2 	 47 	 128 	 2 	 1 	 [1, 3]
2 	 48 	 194 	 4 	 3 	 [3, 5]
2 	 49 	 16 	 15 	 1 	 [1, 3]
3 	 0 	 196 	 13 	 10 	 [3, 5]
3 	 1 	 224 	 8 	 7 	 [15, 1]
3 	 2 	 64 	 4 	 1 	 [3, 5]
3 	 3 	 224 	 8 	 7 	 [15, 1]
3 	 4 	 4 	 1 	 0 	 [15, 1]
3 	 5 	 16 	 15 	 1 	 [1, 3]
3 	 6 	 214 	 6 	 5 	 [1, 3]
3 	 7 	 128 	 2 	 1 	 [1, 3]
3 	 8 	 130 	 2 	 1 	 [1, 3]
3 	 9 	 128 	 2 	 1 	 [1, 3]
3 	 10 	 112 	 9 	 4 	 [15, 1]
3 	 11 	 81 	 13 	 4 	 [3, 5]
3 	 12 	 0 	 0 	 0 	 [0, 0]
3 	 13 	 128 	 2 	 1 	 [1, 3]
3 	 14 	 248 	 1 	 1 	 [15, 1]
3 	 15 	 192 	 4 	 3 	 [3, 5]
3 	 16 	 131 	 2 	 1 	 [1, 3]
3 	 17 	 216 	 13 	 11 	 [3, 5]
3 	 18 	 240 	 15 	 14 	 [1, 3]
3 	 19 	 64 	 4 	 1 	 [3, 5]
3 	 20 	 193 	 4 	 3 	 [3, 5]
3 	 21 	 192 	 4 	 3 	 [3, 5]
3 	 22 	 96 	 8 	 3 	 [15, 1]
3 	 23 	 172 	 3 	 2 	 [1, 3]
3 	 24 	 208 	 11 	 9 	 [1, 3]
3 	 25 	 8 	 1 	 0 	 [15, 1]
3 	 26 	 96 	 8 	 3 	 [15, 1]
3 	 27 	 8 	 1 	 0 	 [15, 1]
3 	 28 	 64 	 4 	 1 	 [3, 5]
3 	 29 	 74 	 7 	 2 	 [1, 3]
3 	 30 	 128 	 2 	 1 	 [1, 3]
3 	 31 	 80 	 13 	 4 	 [3, 5]
3 	 32 	 224 	 8 	 7 	 [15, 1]
3 	 33 	 0 	 0 	 0 	 [0, 0]
3 	 34 	 184 	 7 	 5 	 [1, 3]
3 	 35 	 196 	 13 	 10 	 [3, 5]
3 	 36 	 82 	 13 	 4 	 [3, 5]
3 	 37 	 8 	 1 	 0 	 [15, 1]
3 	 38 	 37 	 7 	 1 	 [1, 3]
3 	 39 	 68 	 15 	 4 	 [1, 3]
3 	 40 	 72 	 7 	 2 	 [1, 3]
3 	 41 	 32 	 8 	 1 	 [15, 1]
3 	 42 	 240 	 15 	 14 	 [1, 3]
3 	 43 	 2 	 1 	 0 	 [15, 1]
3 	 44 	 129 	 2 	 1 	 [1, 3]
3 	 45 	 16 	 15 	 1 	 [1, 3]
3 	 46 	 161 	 8 	 5 	 [15, 1]
3 	 47 	 0 	 0 	 0 	 [0, 0]
3 	 48 	 128 	 2 	 1 	 [1, 3]
3 	 49 	 136 	 15 	 8 	 [1, 3]
4 	 0 	 144 	 9 	 5 	 [15, 1]
4 	 1 	 192 	 4 	 3 	 [3, 5]
4 	 2 	 197 	 13 	 10 	 [3, 5]
4 	 3 	 76 	 10 	 3 	 [1, 3]
4 	 4 	 130 	 2 	 1 	 [1, 3]
4 	 5 	 144 	 9 	 5 	 [15, 1]
4 	 6 	 68 	 15 	 4 	 [1, 3]
4 	 7 	 112 	 9 	 4 	 [15, 1]
4 	 8 	 60 	 13 	 3 	 [3, 5]
4 	 9 	 32 	 8 	 1 	 [15, 1]
4 	 10 	 40 	 13 	 2 	 [3, 5]
4 	 11 	 0 	 0 	 0 	 [0, 0]
4 	 12 	 96 	 8 	 3 	 [15, 1]
4 	 13 	 80 	 13 	 4 	 [3, 5]
4 	 14 	 4 	 1 	 0 	 [15, 1]
4 	 15 	 50 	 5 	 1 	 [3, 5]
4 	 16 	 0 	 0 	 0 	 [0, 0]
4 	 17 	 70 	 11 	 3 	 [1, 3]
4 	 18 	 224 	 8 	 7 	 [15, 1]
4 	 19 	 17 	 15 	 1 	 [1, 3]
4 	 20 	 193 	 4 	 3 	 [3, 5]
4 	 21 	 128 	 2 	 1 	 [1, 3]
4 	 22 	 4 	 1 	 0 	 [15, 1]
4 	 23 	 224 	 8 	 7 	 [15, 1]
4 	 24 	 225 	 8 	 7 	 [15, 1]
4 	 25 	 169 	 3 	 2 	 [1, 3]
4 	 26 	 128 	 2 	 1 	 [1, 3]
4 	 27 	 98 	 13 	 5 	 [3, 5]
4 	 28 	 76 	 10 	 3 	 [1, 3]
4 	 29 	 208 	 11 	 9 	 [1, 3]
4 	 30 	 193 	 4 	 3 	 [3, 5]
4 	 31 	 12 	 15 	 1 	 [1, 3]
4 	 32 	 70 	 11 	 3 	 [1, 3]
4 	 33 	 130 	 2 	 1 	 [1, 3]
4 	 34 	 0 	 0 	 0 	 [0, 0]
4 	 35 	 129 	 2 	 1 	 [1, 3]
4 	 36 	 128 	 2 	 1 	 [1, 3]
4 	 37 	 168 	 3 	 2 	 [1, 3]
4 	 38 	 128 	 2 	 1 	 [1, 3]
4 	 39 	 2 	 1 	 0 	 [15, 1]
4 	 40 	 192 	 4 	 3 	 [3, 5]
4 	 41 	 0 	 0 	 0 	 [0, 0]
4 	 42 	 241 	 15 	 14 	 [1, 3]
4 	 43 	 208 	 11 	 9 	 [1, 3]
4 	 44 	 4 	 1 	 0 	 [15, 1]
4 	 45 	 101 	 5 	 2 	 [3, 5]
4 	 46 	 40 	 13 	 2 	 [3, 5]
4 	 47 	 228 	 9 	 8 	 [15, 1]
4 	 48 	 4 	 1 	 0 	 [15, 1]
4 	 49 	 224 	 8 	 7 	 [15, 1]
5 	 0 	 190 	 4 	 3 	 [3, 5]
5 	 1 	 1 	 1 	 0 	 [15, 1]
5 	 2 	 11 	 15 	 1 	 [1, 3]
5 	 3 	 64 	 4 	 1 	 [3, 5]
5 	 4 	 121 	 15 	 7 	 [1, 3]
5 	 5 	 33 	 8 	 1 	 [15, 1]
5 	 6 	 128 	 2 	 1 	 [1, 3]
5 	 7 	 8 	 1 	 0 	 [15, 1]
5 	 8 	 186 	 11 	 8 	 [1, 3]
5 	 9 	 23 	 11 	 1 	 [1, 3]
5 	 10 	 5 	 1 	 0 	 [15, 1]
5 	 11 	 193 	 4 	 3 	 [3, 5]
5 	 12 	 48 	 11 	 2 	 [1, 3]
5 	 13 	 180 	 10 	 7 	 [1, 3]
5 	 14 	 67 	 15 	 4 	 [1, 3]
5 	 15 	 161 	 8 	 5 	 [15, 1]
5 	 16 	 2 	 1 	 0 	 [15, 1]
5 	 17 	 72 	 7 	 2 	 [1, 3]
5 	 18 	 178 	 13 	 9 	 [3, 5]
5 	 19 	 1 	 1 	 0 	 [15, 1]
5 	 20 	 41 	 13 	 2 	 [3, 5]
5 	 21 	 128 	 2 	 1 	 [1, 3]
5 	 22 	 240 	 15 	 14 	 [1, 3]
5 	 23 	 160 	 8 	 5 	 [15, 1]
5 	 24 	 65 	 4 	 1 	 [3, 5]
5 	 25 	 133 	 15 	 8 	 [1, 3]
5 	 26 	 65 	 4 	 1 	 [3, 5]
5 	 27 	 192 	 4 	 3 	 [3, 5]
5 	 28 	 160 	 8 	 5 	 [15, 1]
5 	 29 	 62 	 4 	 1 	 [3, 5]
5 	 30 	 192 	 4 	 3 	 [3, 5]
5 	 31 	 72 	 7 	 2 	 [1, 3]
5 	 32 	 0 	 0 	 0 	 [0, 0]
5 	 33 	 0 	 0 	 0 	 [0, 0]
5 	 34 	 209 	 11 	 9 	 [1, 3]
5 	 35 	 0 	 0 	 0 	 [0, 0]
5 	 36 	 58 	 13 	 3 	 [3, 5]
5 	 37 	 55 	 14 	 3 	 [1, 3]
5 	 38 	 97 	 8 	 3 	 [15, 1]
5 	 39 	 141 	 9 	 5 	 [15, 1]
5 	 40 	 48 	 11 	 2 	 [1, 3]
5 	 41 	 8 	 1 	 0 	 [15, 1]
5 	 42 	 132 	 2 	 1 	 [1, 3]
5 	 43 	 2 	 1 	 0 	 [15, 1]
5 	 44 	 124 	 2 	 1 	 [1, 3]
5 	 45 	 146 	 7 	 4 	 [1, 3]
5 	 46 	 0 	 0 	 0 	 [0, 0]
5 	 47 	 240 	 15 	 14 	 [1, 3]
5 	 48 	 68 	 15 	 4 	 [1, 3]
5 	 49 	 74 	 7 	 2 	 [1, 3]
6 	 0 	 153 	 5 	 3 	 [3, 5]
6 	 1 	 253 	 1 	 1 	 [15, 1]
6 	 2 	 188 	 15 	 11 	 [1, 3]
6 	 3 	 196 	 13 	 10 	 [3, 5]
6 	 4 	 244 	 15 	 14 	 [1, 3]
6 	 5 	 85 	 3 	 1 	 [1, 3]
6 	 6 	 160 	 8 	 5 	 [15, 1]
6 	 7 	 216 	 13 	 11 	 [3, 5]
6 	 8 	 96 	 8 	 3 	 [15, 1]
6 	 9 	 251 	 1 	 1 	 [15, 1]
6 	 10 	 162 	 11 	 7 	 [1, 3]
6 	 11 	 192 	 4 	 3 	 [3, 5]
6 	 12 	 208 	 11 	 9 	 [1, 3]
6 	 13 	 197 	 13 	 10 	 [3, 5]
6 	 14 	 192 	 4 	 3 	 [3, 5]
6 	 15 	 19 	 13 	 1 	 [3, 5]
6 	 16 	 74 	 7 	 2 	 [1, 3]
6 	 17 	 1 	 1 	 0 	 [15, 1]
6 	 18 	 2 	 1 	 0 	 [15, 1]
6 	 19 	 140 	 11 	 6 	 [1, 3]
6 	 20 	 149 	 12 	 7 	 [3, 5]
6 	 21 	 128 	 2 	 1 	 [1, 3]
6 	 22 	 224 	 8 	 7 	 [15, 1]
6 	 23 	 16 	 15 	 1 	 [1, 3]
6 	 24 	 1 	 1 	 0 	 [15, 1]
6 	 25 	 52 	 5 	 1 	 [3, 5]
6 	 26 	 128 	 2 	 1 	 [1, 3]
6 	 27 	 144 	 9 	 5 	 [15, 1]
6 	 28 	 140 	 11 	 6 	 [1, 3]
6 	 29 	 4 	 1 	 0 	 [15, 1]
6 	 30 	 34 	 15 	 2 	 [1, 3]
6 	 31 	 210 	 11 	 9 	 [1, 3]
6 	 32 	 32 	 8 	 1 	 [15, 1]
6 	 33 	 40 	 13 	 2 	 [3, 5]
6 	 34 	 36 	 7 	 1 	 [1, 3]
6 	 35 	 32 	 8 	 1 	 [15, 1]
6 	 36 	 96 	 8 	 3 	 [15, 1]
6 	 37 	 112 	 9 	 4 	 [15, 1]
6 	 38 	 233 	 11 	 10 	 [1, 3]
6 	 39 	 161 	 8 	 5 	 [15, 1]
6 	 40 	 96 	 8 	 3 	 [15, 1]
6 	 41 	 85 	 3 	 1 	 [1, 3]
6 	 42 	 64 	 4 	 1 	 [3, 5]
6 	 43 	 114 	 9 	 4 	 [15, 1]
6 	 44 	 195 	 13 	 10 	 [3, 5]
6 	 45 	 0 	 0 	 0 	 [0, 0]
6 	 46 	 49 	 5 	 1 	 [3, 5]
6 	 47 	 187 	 15 	 11 	 [1, 3]
6 	 48 	 88 	 3 	 1 	 [1, 3]
6 	 49 	 197 	 13 	 10 	 [3, 5]
7 	 0 	 128 	 2 	 1 	 [1, 3]
7 	 1 	 229 	 10 	 9 	 [1, 3]
7 	 2 	 118 	 13 	 6 	 [3, 5]
7 	 3 	 138 	 13 	 7 	 [3, 5]
7 	 4 	 192 	 4 	 3 	 [3, 5]
7 	 5 	 132 	 2 	 1 	 [1, 3]
7 	 6 	 129 	 2 	 1 	 [1, 3]
7 	 7 	 192 	 4 	 3 	 [3, 5]
7 	 8 	 64 	 4 	 1 	 [3, 5]
7 	 9 	 116 	 11 	 5 	 [1, 3]
7 	 10 	 32 	 8 	 1 	 [15, 1]
7 	 11 	 42 	 6 	 1 	 [1, 3]
7 	 12 	 16 	 15 	 1 	 [1, 3]
7 	 13 	 192 	 4 	 3 	 [3, 5]
7 	 14 	 192 	 4 	 3 	 [3, 5]
7 	 15 	 196 	 13 	 10 	 [3, 5]
7 	 16 	 161 	 8 	 5 	 [15, 1]
7 	 17 	 146 	 7 	 4 	 [1, 3]
7 	 18 	 208 	 11 	 9 	 [1, 3]
7 	 19 	 68 	 15 	 4 	 [1, 3]
7 	 20 	 112 	 9 	 4 	 [15, 1]
7 	 21 	 198 	 13 	 10 	 [3, 5]
7 	 22 	 214 	 6 	 5 	 [1, 3]
7 	 23 	 32 	 8 	 1 	 [15, 1]
7 	 24 	 64 	 4 	 1 	 [3, 5]
7 	 25 	 0 	 0 	 0 	 [0, 0]
7 	 26 	 221 	 15 	 13 	 [1, 3]
7 	 27 	 0 	 0 	 0 	 [0, 0]
7 	 28 	 65 	 4 	 1 	 [3, 5]
7 	 29 	 64 	 4 	 1 	 [3, 5]
7 	 30 	 228 	 9 	 8 	 [15, 1]
7 	 31 	 32 	 8 	 1 	 [15, 1]
7 	 32 	 226 	 9 	 8 	 [15, 1]
7 	 33 	 195 	 13 	 10 	 [3, 5]
7 	 34 	 177 	 13 	 9 	 [3, 5]
7 	 35 	 194 	 4 	 3 	 [3, 5]
7 	 36 	 248 	 1 	 1 	 [15, 1]
7 	 37 	 5 	 1 	 0 	 [15, 1]
7 	 38 	 96 	 8 	 3 	 [15, 1]
7 	 39 	 176 	 13 	 9 	 [3, 5]
7 	 40 	 248 	 1 	 1 	 [15, 1]
7 	 41 	 104 	 5 	 2 	 [3, 5]
7 	 42 	 97 	 8 	 3 	 [15, 1]
7 	 43 	 13 	 15 	 1 	 [1, 3]
7 	 44 	 200 	 9 	 7 	 [15, 1]
7 	 45 	 66 	 4 	 1 	 [3, 5]
7 	 46 	 131 	 2 	 1 	 [1, 3]
7 	 47 	 40 	 13 	 2 	 [3, 5]
7 	 48 	 154 	 5 	 3 	 [3, 5]
7 	 49 	 129 	 2 	 1 	 [1, 3]
8 	 0 	 3 	 1 	 0 	 [15, 1]
8 	 1 	 69 	 15 	 4 	 [1, 3]
8 	 2 	 72 	 7 	 2 	 [1, 3]
8 	 3 	 112 	 9 	 4 	 [15, 1]
8 	 4 	 251 	 1 	 1 	 [15, 1]
8 	 5 	 114 	 9 	 4 	 [15, 1]
8 	 6 	 142 	 9 	 5 	 [15, 1]
8 	 7 	 92 	 14 	 5 	 [1, 3]
8 	 8 	 162 	 11 	 7 	 [1, 3]
8 	 9 	 51 	 5 	 1 	 [3, 5]
8 	 10 	 17 	 15 	 1 	 [1, 3]
8 	 11 	 64 	 4 	 1 	 [3, 5]
8 	 12 	 176 	 13 	 9 	 [3, 5]
8 	 13 	 18 	 14 	 1 	 [1, 3]
8 	 14 	 28 	 9 	 1 	 [15, 1]
8 	 15 	 199 	 9 	 7 	 [15, 1]
8 	 16 	 97 	 8 	 3 	 [15, 1]
8 	 17 	 176 	 13 	 9 	 [3, 5]
8 	 18 	 49 	 5 	 1 	 [3, 5]
8 	 19 	 213 	 6 	 5 	 [1, 3]
8 	 20 	 48 	 11 	 2 	 [1, 3]
8 	 21 	 13 	 15 	 1 	 [1, 3]
8 	 22 	 116 	 11 	 5 	 [1, 3]
8 	 23 	 247 	 15 	 14 	 [1, 3]
8 	 24 	 72 	 7 	 2 	 [1, 3]
8 	 25 	 148 	 12 	 7 	 [3, 5]
8 	 26 	 34 	 15 	 2 	 [1, 3]
8 	 27 	 136 	 15 	 8 	 [1, 3]
8 	 28 	 5 	 1 	 0 	 [15, 1]
8 	 29 	 67 	 15 	 4 	 [1, 3]
8 	 30 	 204 	 5 	 4 	 [3, 5]
8 	 31 	 192 	 4 	 3 	 [3, 5]
8 	 32 	 249 	 1 	 1 	 [15, 1]
8 	 33 	 229 	 10 	 9 	 [1, 3]
8 	 34 	 0 	 0 	 0 	 [0, 0]
8 	 35 	 208 	 11 	 9 	 [1, 3]
8 	 36 	 224 	 8 	 7 	 [15, 1]
8 	 37 	 152 	 5 	 3 	 [3, 5]
8 	 38 	 204 	 5 	 4 	 [3, 5]
8 	 39 	 18 	 14 	 1 	 [1, 3]
8 	 40 	 129 	 2 	 1 	 [1, 3]
8 	 41 	 185 	 11 	 8 	 [1, 3]
8 	 42 	 21 	 12 	 1 	 [3, 5]
8 	 43 	 194 	 4 	 3 	 [3, 5]
8 	 44 	 7 	 1 	 0 	 [15, 1]
8 	 45 	 192 	 4 	 3 	 [3, 5]
8 	 46 	 82 	 13 	 4 	 [3, 5]
8 	 47 	 205 	 5 	 4 	 [3, 5]
8 	 48 	 129 	 2 	 1 	 [1, 3]
8 	 49 	 176 	 13 	 9 	 [3, 5]
9 	 0 	 65 	 4 	 1 	 [3, 5]
9 	 1 	 6 	 1 	 0 	 [15, 1]
9 	 2 	 172 	 3 	 2 	 [1, 3]
9 	 3 	 96 	 8 	 3 	 [15, 1]
9 	 4 	 209 	 11 	 9 	 [1, 3]
9 	 5 	 180 	 10 	 7 	 [1, 3]
9 	 6 	 168 	 3 	 2 	 [1, 3]
9 	 7 	 192 	 4 	 3 	 [3, 5]
9 	 8 	 24 	 11 	 1 	 [1, 3]
9 	 9 	 135 	 15 	 8 	 [1, 3]
9 	 10 	 193 	 4 	 3 	 [3, 5]
9 	 11 	 208 	 11 	 9 	 [1, 3]
9 	 12 	 208 	 11 	 9 	 [1, 3]
9 	 13 	 0 	 0 	 0 	 [0, 0]
9 	 14 	 194 	 4 	 3 	 [3, 5]
9 	 15 	 50 	 5 	 1 	 [3, 5]
9 	 16 	 150 	 12 	 7 	 [3, 5]
9 	 17 	 99 	 13 	 5 	 [3, 5]
9 	 18 	 96 	 8 	 3 	 [15, 1]
9 	 19 	 127 	 2 	 1 	 [1, 3]
9 	 20 	 194 	 4 	 3 	 [3, 5]
9 	 21 	 32 	 8 	 1 	 [15, 1]
9 	 22 	 157 	 13 	 8 	 [3, 5]
9 	 23 	 180 	 10 	 7 	 [1, 3]
9 	 24 	 0 	 0 	 0 	 [0, 0]
9 	 25 	 178 	 13 	 9 	 [3, 5]
9 	 26 	 198 	 13 	 10 	 [3, 5]
9 	 27 	 34 	 15 	 2 	 [1, 3]
9 	 28 	 138 	 13 	 7 	 [3, 5]
9 	 29 	 140 	 11 	 6 	 [1, 3]
9 	 30 	 13 	 15 	 1 	 [1, 3]
9 	 31 	 168 	 3 	 2 	 [1, 3]
9 	 32 	 132 	 2 	 1 	 [1, 3]
9 	 33 	 8 	 1 	 0 	 [15, 1]
9 	 34 	 195 	 13 	 10 	 [3, 5]
9 	 35 	 201 	 14 	 11 	 [1, 3]
9 	 36 	 225 	 8 	 7 	 [15, 1]
9 	 37 	 134 	 15 	 8 	 [1, 3]
9 	 38 	 96 	 8 	 3 	 [15, 1]
9 	 39 	 68 	 15 	 4 	 [1, 3]
9 	 40 	 176 	 13 	 9 	 [3, 5]
9 	 41 	 129 	 2 	 1 	 [1, 3]
9 	 42 	 146 	 7 	 4 	 [1, 3]
9 	 43 	 12 	 15 	 1 	 [1, 3]
9 	 44 	 176 	 13 	 9 	 [3, 5]
9 	 45 	 236 	 13 	 12 	 [3, 5]
9 	 46 	 182 	 7 	 5 	 [1, 3]
9 	 47 	 184 	 7 	 5 	 [1, 3]
9 	 48 	 79 	 13 	 4 	 [3, 5]
9 	 49 	 116 	 11 	 5 	 [1, 3]
10 	 0 	 175 	 13 	 9 	 [3, 5]
10 	 1 	 58 	 13 	 3 	 [3, 5]
10 	 2 	 98 	 13 	 5 	 [3, 5]
10 	 3 	 128 	 2 	 1 	 [1, 3]
10 	 4 	 100 	 13 	 5 	 [3, 5]
10 	 5 	 134 	 15 	 8 	 [1, 3]
10 	 6 	 45 	 11 	 2 	 [1, 3]
10 	 7 	 95 	 8 	 3 	 [15, 1]
10 	 8 	 97 	 8 	 3 	 [15, 1]
10 	 9 	 28 	 9 	 1 	 [15, 1]
10 	 10 	 224 	 8 	 7 	 [15, 1]
10 	 11 	 164 	 14 	 9 	 [1, 3]
10 	 12 	 97 	 8 	 3 	 [15, 1]
10 	 13 	 144 	 9 	 5 	 [15, 1]
10 	 14 	 13 	 15 	 1 	 [1, 3]
10 	 15 	 252 	 1 	 1 	 [15, 1]
10 	 16 	 56 	 9 	 2 	 [15, 1]
