case	rep	j	r	k	guesses
4	0	405	23	9	[1, 9]
4	1	584	7	4	[1, 27]
4	2	341	3	1	[1, 9]
4	3	277	26	7	[1, 9]
4	4	681	3	2	[1, 9]
4	5	931	11	10	[1, 9]
4	6	518	2	1	[1, 9]
4	7	309	10	3	[1, 9]
4	8	691	25	17	[27, 1]
4	9	295	7	2	[1, 27]
4	10	276	26	7	[1, 9]
4	11	633	21	13	[9, 1]
4	12	681	3	2	[1, 9]
4	13	40	26	1	[1, 9]
4	14	611	5	3	[9, 1]
4	15	277	26	7	[1, 9]
4	16	853	6	5	[1, 27]
4	17	72	14	1	[1, 9]
4	18	675	26	17	[1, 9]
4	19	939	12	11	[27, 1]
4	20	691	25	17	[27, 1]
4	21	513	2	1	[1, 9]
4	22	681	3	2	[1, 9]
4	23	437	7	3	[1, 27]
4	24	981	24	23	[27, 1]
4	25	426	12	5	[27, 1]
4	26	406	5	2	[9, 1]
4	27	773	4	3	[9, 1]
4	28	516	2	1	[1, 9]
4	29	853	6	5	[1, 27]
4	30	735	25	18	[27, 1]
4	31	69	15	1	[1, 9]
4	32	229	9	2	[9, 1]
4	33	714	23	16	[1, 9]
4	34	641	8	5	[9, 1]
4	35	174	6	1	[1, 27]
4	36	365	14	5	[1, 9]
4	37	587	7	4	[1, 27]
4	38	978	22	21	[1, 9]
4	39	321	16	5	[9, 1]
4	40	341	3	1	[1, 9]
4	41	197	26	5	[1, 9]
4	42	683	3	2	[1, 9]
4	43	187	11	2	[1, 9]
4	44	426	12	5	[27, 1]
4	45	407	5	2	[9, 1]
4	46	512	2	1	[1, 9]
4	47	729	7	5	[1, 27]
4	48	8	1	0	[27, 1]
4	49	448	16	7	[9, 1]
5	0	984	26	25	[1, 9]
5	1	699	22	15	[1, 9]
5	2	277	26	7	[1, 9]
5	3	682	3	2	[1, 9]
5	4	569	9	5	[9, 1]
5	5	938	12	11	[27, 1]
5	6	58	18	1	[1, 27]
5	7	6	1	0	[27, 1]
5	8	554	24	13	[27, 1]
5	9	779	25	19	[27, 1]
5	10	890	23	20	[1, 9]
5	11	405	23	9	[1, 9]
5	12	640	8	5	[9, 1]
5	13	849	23	19	[1, 9]
5	14	1003	27	26	[1, 9]
5	15	861	25	21	[27, 1]
5	16	128	8	1	[9, 1]
5	17	644	27	17	[1, 9]
5	18	411	5	2	[9, 1]
5	19	765	4	3	[9, 1]
5	20	448	16	7	[9, 1]
5	21	42	24	1	[27, 1]
5	22	264	27	7	[1, 9]
5	23	427	12	5	[27, 1]
5	24	516	2	1	[1, 9]
5	25	972	20	19	[9, 1]
5	26	222	23	5	[1, 9]
5	27	119	26	3	[1, 9]
5	28	685	3	2	[1, 9]
5	29	955	15	14	[1, 9]
5	30	162	19	3	[1, 27]
5	31	200	26	5	[1, 9]
5	32	768	4	3	[9, 1]
5	33	104	10	1	[1, 9]
5	34	687	3	2	[1, 9]
5	35	148	7	1	[1, 27]
5	36	730	7	5	[1, 27]
5	37	125	25	3	[27, 1]
5	38	187	11	2	[1, 9]
5	39	373	11	4	[1, 9]
5	40	900	25	22	[27, 1]
5	41	18	1	0	[27, 1]
5	42	325	22	7	[1, 9]
5	43	279	11	3	[1, 9]
5	44	314	13	4	[27, 1]
5	45	348	26	9	[1, 9]
5	46	473	13	6	[27, 1]
5	47	811	24	19	[27, 1]
5	48	906	26	23	[1, 9]
5	49	768	4	3	[9, 1]
6	0	855	6	5	[1, 27]
6	1	409	5	2	[9, 1]
6	2	8	1	0	[27, 1]
6	3	650	11	7	[1, 9]
6	4	171	6	1	[1, 27]
6	5	898	8	7	[9, 1]
6	6	309	10	3	[1, 9]
6	7	2	1	0	[27, 1]
6	8	307	10	3	[1, 9]
6	9	885	22	19	[1, 9]
6	10	643	27	17	[1, 9]
6	11	404	23	9	[1, 9]
6	12	4	1	0	[27, 1]
6	13	546	15	8	[1, 9]
6	14	619	23	14	[1, 9]
6	15	157	13	2	[27, 1]
6	16	510	2	1	[1, 9]
6	17	187	11	2	[1, 9]
6	18	0	0	0	[0, 0]
6	19	174	6	1	[1, 27]
6	20	453	9	4	[9, 1]
6	21	337	3	1	[1, 9]
6	22	643	27	17	[1, 9]
6	23	577	16	9	[9, 1]
6	24	203	5	1	[9, 1]
6	25	390	21	8	[9, 1]
6	26	483	17	8	[9, 1]
6	27	861	25	21	[27, 1]
6	28	514	2	1	[1, 9]
6	29	170	6	1	[1, 27]
6	30	513	2	1	[1, 9]
6	31	22	27	1	[1, 9]
6	32	322	19	6	[1, 27]
6	33	977	22	21	[1, 9]
6	34	32	27	1	[1, 9]
6	35	321	16	5	[9, 1]
6	36	173	6	1	[1, 27]
6	37	341	3	1	[1, 9]
6	38	656	25	16	[27, 1]
6	39	853	6	5	[1, 27]
6	40	333	25	8	[27, 1]
6	41	136	15	2	[1, 9]
6	42	943	25	23	[27, 1]
6	43	0	0	0	[0, 0]
6	44	512	2	1	[1, 9]
6	45	853	6	5	[1, 27]
6	46	1005	27	26	[1, 9]
6	47	2	1	0	[27, 1]
6	48	146	7	1	[1, 27]
6	49	870	20	17	[9, 1]
7	0	375	19	7	[1, 27]
7	1	859	25	21	[27, 1]
7	2	261	27	7	[1, 9]
7	3	260	4	1	[9, 1]
7	4	687	3	2	[1, 9]
7	5	933	23	21	[1, 9]
7	6	555	24	13	[27, 1]
7	7	277	26	7	[1, 9]
7	8	21	27	1	[1, 9]
7	9	515	2	1	[1, 9]
7	10	140	22	3	[1, 9]
7	11	137	15	2	[1, 9]
7	12	213	24	5	[27, 1]
7	13	793	22	17	[1, 9]
7	14	349	26	9	[1, 9]
7	15	777	25	19	[27, 1]
7	16	416	27	11	[1, 9]
7	17	12	1	0	[27, 1]
7	18	149	27	4	[1, 9]
7	19	514	2	1	[1, 9]
7	20	238	13	3	[27, 1]
7	21	381	27	10	[1, 9]
7	22	934	23	21	[1, 9]
7	23	821	5	4	[9, 1]
7	24	382	8	3	[9, 1]
7	25	886	15	13	[1, 9]
7	26	65	16	1	[9, 1]
7	27	512	2	1	[1, 9]
7	28	97	21	2	[9, 1]
7	29	333	25	8	[27, 1]
7	30	815	5	4	[9, 1]
7	31	32	27	1	[1, 9]
7	32	523	27	14	[1, 9]
7	33	978	22	21	[1, 9]
7	34	85	12	1	[27, 1]
7	35	772	4	3	[9, 1]
7	36	594	19	11	[1, 27]
7	37	343	3	1	[1, 9]
7	38	513	2	1	[1, 9]
7	39	299	24	7	[27, 1]
7	40	417	27	11	[1, 9]
7	41	189	27	5	[1, 9]
7	42	675	26	17	[1, 9]
7	43	794	9	7	[9, 1]
7	44	43	24	1	[27, 1]
7	45	72	14	1	[1, 9]
7	46	567	9	5	[9, 1]
7	47	757	23	17	[1, 9]
7	48	82	25	2	[27, 1]
7	49	661	17	11	[9, 1]
8	0	132	23	3	[1, 9]
8	1	314	13	4	[27, 1]
8	2	905	26	23	[1, 9]
8	3	68	15	1	[1, 9]
8	4	106	19	2	[1, 27]
8	5	468	24	11	[27, 1]
8	6	968	18	17	[1, 27]
8	7	866	13	11	[27, 1]
8	8	918	19	17	[1, 27]
8	9	860	25	21	[27, 1]
8	10	276	26	7	[1, 9]
8	11	103	10	1	[1, 9]
8	12	2	1	0	[27, 1]
8	13	639	8	5	[9, 1]
8	14	552	13	7	[27, 1]
8	15	629	13	8	[27, 1]
8	16	283	18	5	[1, 27]
8	17	664	17	11	[9, 1]
8	18	682	3	2	[1, 9]
8	19	9	1	0	[27, 1]
8	20	496	27	13	[1, 9]
8	21	288	25	7	[27, 1]
8	22	532	25	13	[27, 1]
8	23	686	3	2	[1, 9]
8	24	501	27	13	[1, 9]
8	25	193	16	3	[9, 1]
8	26	104	10	1	[1, 9]
8	27	984	26	25	[1, 9]
8	28	850	6	5	[1, 27]
8	29	0	0	0	[0, 0]
8	30	521	2	1	[1, 9]
8	31	263	27	7	[1, 9]
8	32	1021	1	1	[27, 1]
8	33	496	27	13	[1, 9]
8	34	353	26	9	[1, 9]
8	35	170	6	1	[1, 27]
8	36	568	9	5	[9, 1]
8	37	285	18	5	[1, 27]
8	38	651	11	7	[1, 9]
8	39	573	25	14	[27, 1]
8	40	820	5	4	[9, 1]
8	41	377	19	7	[1, 27]
8	42	85	12	1	[27, 1]
8	43	978	22	21	[1, 9]
8	44	936	23	21	[1, 9]
8	45	140	22	3	[1, 9]
8	46	681	3	2	[1, 9]
8	47	448	16	7	[9, 1]
8	48	359	20	7	[9, 1]
8	49	91	23	2	[1, 9]
9	0	352	26	9	[1, 9]
9	1	141	22	3	[1, 9]
9	2	528	27	14	[1, 9]
9	3	494	27	13	[1, 9]
9	4	943	25	23	[27, 1]
9	5	977	22	21	[1, 9]
9	6	651	11	7	[1, 9]
9	7	715	10	7	[1, 9]
9	8	301	17	5	[9, 1]
9	9	65	16	1	[9, 1]
9	10	247	25	6	[27, 1]
9	11	715	10	7	[1, 9]
9	12	290	7	2	[1, 27]
9	13	929	11	10	[1, 9]
9	14	687	3	2	[1, 9]
9	15	142	22	3	[1, 9]
9	16	561	20	11	[9, 1]
9	17	323	19	6	[1, 27]
9	18	846	23	19	[1, 9]
9	19	618	5	3	[9, 1]
9	20	919	10	9	[1, 9]
9	21	68	15	1	[1, 9]
9	22	641	8	5	[9, 1]
9	23	863	19	16	[1, 27]
9	24	778	25	19	[27, 1]
9	25	514	2	1	[1, 9]
9	26	385	8	3	[9, 1]
9	27	792	22	17	[1, 9]
9	28	401	23	9	[1, 9]
9	29	217	19	4	[1, 27]
9	30	442	7	3	[1, 27]
9	31	342	3	1	[1, 9]
9	32	683	3	2	[1, 9]
9	33	320	16	5	[9, 1]
9	34	608	27	16	[1, 9]
9	35	384	8	3	[9, 1]
9	36	660	14	9	[1, 9]
9	37	465	11	5	[1, 9]
9	38	84	12	1	[27, 1]
9	39	588	26	15	[1, 9]
9	40	546	15	8	[1, 9]
9	41	385	8	3	[9, 1]
9	42	484	19	9	[1, 27]
9	43	384	8	3	[9, 1]
9	44	407	5	2	[9, 1]
9	45	8	1	0	[27, 1]
9	46	168	6	1	[1, 27]
9	47	119	26	3	[1, 9]
9	48	176	23	4	[1, 9]
9	49	127	8	1	[9, 1]
10	0	533	25	13	[27, 1]
10	1	610	27	16	[1, 9]
10	2	894	8	7	[9, 1]
10	3	854	6	5	[1, 27]
10	4	746	11	8	[1, 9]
10	5	23	27	1	[1, 9]
10	6	545	15	8	[1, 9]
10	7	687	3	2	[1, 9]
10	8	981	24	23	[27, 1]
10	9	669	26	17	[1, 9]
10	10	336	3	1	[1, 9]
10	11	273	15	4	[1, 9]
10	12	698	22	15	[1, 9]
10	13	304	27	8	[1, 9]
10	14	652	11	7	[1, 9]
10	15	101	10	1	[1, 9]
10	16	448	16	7	[9, 1]
10	17	565	20	11	[9, 1]
10	18	156	13	2	[27, 1]
10	19	512	2	1	[1, 9]
10	20	664	17	11	[9, 1]
10	21	337	3	1	[1, 9]
10	22	498	27	13	[1, 9]
10	23	665	20	13	[9, 1]
10	24	323	19	6	[1, 27]
10	25	871	20	17	[9, 1]
10	26	93	11	1	[1, 9]
10	27	682	3	2	[1, 9]
10	28	845	23	19	[1, 9]
10	29	163	25	4	[27, 1]
10	30	826	26	21	[1, 9]
10	31	410	5	2	[9, 1]
10	32	731	7	5	[1, 27]
10	33	640	8	5	[9, 1]
10	34	711	23	16	[1, 9]
10	35	325	22	7	[1, 9]
10	36	517	2	1	[1, 9]
10	37	971	19	18	[1, 27]
10	38	661	17	11	[9, 1]
10	39	786	13	10	[27, 1]
10	40	900	25	22	[27, 1]
10	41	342	3	1	[1, 9]
10	42	272	15	4	[1, 9]
10	43	231	22	5	[1, 9]
10	44	163	25	4	[27, 1]
10	45	321	16	5	[9, 1]
10	46	309	10	3	[1, 9]
10	47	788	13	10	[27, 1]
10	48	435	26	11	[1, 9]
10	49	381	27	10	[1, 9]
11	0	239	17	4	[9, 1]
11	1	855	6	5	[1, 27]
11	2	155	20	3	[9, 1]
11	3	436	26	11	[1, 9]
11	4	693	25	17	[27, 1]
11	5	155	20	3	[9, 1]
11	6	140	22	3	[1, 9]
11	7	424	17	7	[9, 1]
11	8	76	27	2	[1, 9]
11	9	652	11	7	[1, 9]
11	10	701	19	13	[1, 27]
11	11	213	24	5	[27, 1]
11	12	736	25	18	[27, 1]
11	13	381	27	10	[1, 9]
11	14	994	27	26	[1, 9]
11	15	647	19	12	[1, 27]
11	16	909	9	8	[9, 1]
11	17	684	3	2	[1, 9]
11	18	88	23	2	[1, 9]
11	19	875	27	23	[1, 9]
11	20	138	15	2	[1, 9]
11	21	385	8	3	[9, 1]
11	22	0	0	0	[0, 0]
11	23	1001	27	26	[1, 9]
11	24	287	25	7	[27, 1]
11	25	903	17	15	[9, 1]
11	26	950	14	13	[1, 9]
11	27	531	27	14	[1, 9]
11	28	284	18	5	[1, 27]
11	29	685	3	2	[1, 9]
11	30	425	12	5	[27, 1]
11	31	523	27	14	[1, 9]
11	32	810	24	19	[27, 1]
11	33	416	27	11	[1, 9]
11	34	195	21	4	[9, 1]
11	35	46	22	1	[1, 9]
11	36	0	0	0	[0, 0]
11	37	374	11	4	[1, 9]
11	38	961	16	15	[9, 1]
11	39	421	17	7	[9, 1]
11	40	711	23	16	[1, 9]
11	41	258	4	1	[9, 1]
11	42	788	13	10	[27, 1]
11	43	837	11	9	[1, 9]
11	44	582	7	4	[1, 27]
11	45	41	25	1	[27, 1]
11	46	544	17	9	[9, 1]
11	47	102	10	1	[1, 9]
11	48	1015	1	1	[27, 1]
11	49	408	5	2	[9, 1]
12	0	919	10	9	[1, 9]
12	1	13	1	0	[27, 1]
12	2	729	7	5	[1, 27]
12	3	781	21	16	[9, 1]
12	4	976	21	20	[9, 1]
12	5	773	4	3	[9, 1]
12	6	150	27	4	[1, 9]
12	7	898	8	7	[9, 1]
12	8	404	23	9	[1, 9]
12	9	648	19	12	[1, 27]
12	10	65	16	1	[9, 1]
12	11	252	4	1	[9, 1]
12	12	9	1	0	[27, 1]
12	13	585	7	4	[1, 27]
12	14	711	23	16	[1, 9]
12	15	685	3	2	[1, 9]
12	16	261	27	7	[1, 9]
12	17	468	24	11	[27, 1]
12	18	819	5	4	[9, 1]
12	19	455	9	4	[9, 1]
12	20	515	2	1	[1, 9]
12	21	121	17	2	[9, 1]
12	22	736	25	18	[27, 1]
12	23	513	2	1	[1, 9]
12	24	834	27	22	[1, 9]
12	25	669	26	17	[1, 9]
12	26	93	11	1	[1, 9]
12	27	149	27	4	[1, 9]
12	28	1009	1	1	[27, 1]
12	29	778	25	19	[27, 1]
12	30	756	23	17	[1, 9]
12	31	63	16	1	[9, 1]
12	32	501	27	13	[1, 9]
12	33	938	12	11	[27, 1]
12	34	487	21	10	[9, 1]
12	35	387	8	3	[9, 1]
12	36	480	17	8	[9, 1]
12	37	6	1	0	[27, 1]
12	38	845	23	19	[1, 9]
12	39	771	4	3	[9, 1]
12	40	623	23	14	[1, 9]
12	41	453	9	4	[9, 1]
12	42	952	14	13	[1, 9]
12	43	195	21	4	[9, 1]
12	44	430	19	8	[1, 27]
12	45	62	17	1	[9, 1]
12	46	80	13	1	[27, 1]
12	47	32	27	1	[1, 9]
12	48	789	13	10	[27, 1]
12	49	886	15	13	[1, 9]
13	0	27	27	1	[1, 9]
13	1	833	16	13	[9, 1]
13	2	132	23	3	[1, 9]
13	3	713	23	16	[1, 9]
13	4	486	19	9	[1, 27]
13	5	139	22	3	[1, 9]
13	6	14	1	0	[27, 1]
13	7	642	8	5	[9, 1]
13	8	395	13	5	[27, 1]
13	9	114	9	1	[9, 1]
13	10	111	9	1	[9, 1]
13	11	865	13	11	[27, 1]
13	12	1018	1	1	[27, 1]
13	13	520	2	1	[1, 9]
13	14	515	2	1	[1, 9]
13	15	641	8	5	[9, 1]
13	16	507	2	1	[1, 9]
13	17	403	23	9	[1, 9]
13	18	153	20	3	[9, 1]
13	19	36	27	1	[1, 9]
13	20	736	25	18	[27, 1]
13	21	457	9	4	[9, 1]
13	22	800	23	18	[1, 9]
13	23	721	27	19	[1, 9]
13	24	386	8	3	[9, 1]
13	25	160	19	3	[1, 27]
13	26	781	21	16	[9, 1]
13	27	507	2	1	[1, 9]
13	28	103	10	1	[1, 9]
13	29	301	17	5	[9, 1]
13	30	525	27	14	[1, 9]
13	31	109	19	2	[1, 27]
13	32	496	27	13	[1, 9]
13	33	512	2	1	[1, 9]
13	34	307	10	3	[1, 9]
13	35	31	27	1	[1, 9]
13	36	611	5	3	[9, 1]
13	37	350	26	9	[1, 9]
13	38	238	13	3	[27, 1]
13	39	345	3	1	[1, 9]
13	40	118	26	3	[1, 9]
13	41	586	7	4	[1, 27]
13	42	224	23	5	[1, 9]
13	43	897	8	7	[9, 1]
13	44	424	17	7	[9, 1]
13	45	667	23	15	[1, 9]
13	46	499	27	13	[1, 9]
13	47	519	2	1	[1, 9]
13	48	936	23	21	[1, 9]
13	49	923	10	9	[1, 9]
14	0	688	3	2	[1, 9]
14	1	719	27	19	[1, 9]
14	2	881	7	6	[1, 27]
14	3	617	5	3	[9, 1]
14	4	204	5	1	[9, 1]
14	5	453	9	4	[9, 1]
14	6	219	14	3	[1, 9]
14	7	846	23	19	[1, 9]
14	8	960	16	15	[9, 1]
14	9	939	12	11	[27, 1]
14	10	27	27	1	[1, 9]
14	11	34	27	1	[1, 9]
14	12	111	9	1	[9, 1]
14	13	640	8	5	[9, 1]
14	14	974	20	19	[9, 1]
14	15	790	22	17	[1, 9]
14	16	940	12	11	[27, 1]
14	17	980	23	22	[1, 9]
14	18	449	16	7	[9, 1]
14	19	381	27	10	[1, 9]
14	20	142	22	3	[1, 9]
14	21	961	16	15	[9, 1]
14	22	305	27	8	[1, 9]
14	23	299	24	7	[27, 1]
14	24	173	6	1	[1, 27]
14	25	441	7	3	[1, 27]
14	26	932	11	10	[1, 9]
14	27	917	19	17	[1, 27]
14	28	680	3	2	[1, 9]
14	29	256	4	1	[9, 1]
14	30	872	27	23	[1, 9]
14	31	990	27	26	[1, 9]
14	32	774	25	19	[27, 1]
14	33	952	14	13	[1, 9]
14	34	171	6	1	[1, 27]
14	35	874	27	23	[1, 9]
14	36	319	16	5	[9, 1]
14	37	287	25	7	[27, 1]
14	38	304	27	8	[1, 9]
14	39	499	27	13	[1, 9]
14	40	709	13	9	[27, 1]
14	41	193	16	3	[9, 1]
14	42	753	19	14	[1, 27]
14	43	724	17	12	[9, 1]
14	44	999	27	26	[1, 9]
14	45	634	21	13	[9, 1]
14	46	187	11	2	[1, 9]
14	47	738	25	18	[27, 1]
14	48	239	17	4	[9, 1]
14	49	958	16	15	[9, 1]
15	0	303	27	8	[1, 9]
15	1	946	13	12	[27, 1]
15	2	382	8	3	[9, 1]
15	3	419	22	9	[1, 9]
15	4	729	7	5	[1, 27]
15	5	337	3	1	[1, 9]
15	6	751	15	11	[1, 9]
15	7	427	12	5	[27, 1]
15	8	513	2	1	[1, 9]
15	9	240	17	4	[9, 1]
15	10	664	17	11	[9, 1]
15	11	46	22	1	[1, 9]
15	12	98	21	2	[9, 1]
15	13	673	26	17	[1, 9]
15	14	710	13	9	[27, 1]
15	15	377	19	7	[1, 27]
15	16	185	11	2	[1, 9]
15	17	747	26	19	[1, 9]
15	18	69	15	1	[1, 9]
15	19	955	15	14	[1, 9]
15	20	627	18	11	[1, 27]
15	21	320	16	5	[9, 1]
15	22	492	25	12	[27, 1]
15	23	82	25	2	[27, 1]
15	24	869	20	17	[9, 1]
15	25	101	10	1	[1, 9]
15	26	135	23	3	[1, 9]
15	27	744	11	8	[1, 9]
15	28	874	27	23	[1, 9]
15	29	160	19	3	[1, 27]
15	30	341	3	1	[1, 9]
15	31	411	5	2	[9, 1]
15	32	870	20	17	[9, 1]
15	33	640	8	5	[9, 1]
15	34	120	17	2	[9, 1]
15	35	968	18	17	[1, 27]
15	36	1	1	0	[27, 1]
15	37	512	2	1	[1, 9]
15	38	91	23	2	[1, 9]
15	39	319	16	5	[9, 1]
15	40	688	3	2	[1, 9]
15	41	192	16	3	[9, 1]
15	42	255	4	1	[9, 1]
15	43	880	7	6	[1, 27]
15	44	264	27	7	[1, 9]
15	45	629	13	8	[27, 1]
15	46	51	20	1	[9, 1]
15	47	871	20	17	[9, 1]
15	48	600	17	10	[9, 1]
15	49	241	17	4	[9, 1]
16	0	115	9	1	[9, 1]
16	1	226	9	2	[9, 1]
16	2	196	26	5	[1, 9]
16	3	415	27	11	[1, 9]
16	4	930	11	10	[1, 9]
16	5	676	26	17	[1, 9]
16	6	655	25	16	[27, 1]
16	7	790	22	17	[1, 9]
16	8	483	17	8	[9, 1]
16	9	63	16	1	[9, 1]
16	10	352	26	9	[1, 9]
16	11	230	9	2	[9, 1]
16	12	123	25	3	[27, 1]
16	13	608	27	16	[1, 9]
16	14	727	24	17	[27, 1]
16	15	786	13	10	[27, 1]
16	16	662	17	11	[9, 1]
16	17	1003	27	26	[1, 9]
16	18	452	25	11	[27, 1]
16	19	1001	27	26	[1, 9]
16	20	325	22	7	[1, 9]
