case	rep	j	r	k	guesses
	3	8	719	27	19	[1, 9]
	3	9	1023	1	1	[27, 1]
	3	10	4	1	0	[27, 1]
	3	11	341	3	1	[1, 9]
	3	12	685	3	2	[1, 9]
	3	13	342	3	1	[1, 9]
	3	14	512	2	1	[1, 9]
	3	15	384	8	3	[9, 1]
	3	16	1022	1	1	[27, 1]
	3	17	147	7	1	[1, 27]
	3	18	128	8	1	[9, 1]
	3	19	918	19	17	[1, 27]
	3	20	373	11	4	[1, 9]
	3	21	915	19	17	[1, 27]
	3	22	179	23	4	[1, 9]
	3	23	667	23	15	[1, 9]
	3	24	534	23	12	[1, 9]
	3	25	555	24	13	[27, 1]
	3	26	850	6	5	[1, 27]
	3	27	45	23	1	[1, 9]
	3	28	171	6	1	[1, 27]
	3	29	645	27	17	[1, 9]
	3	30	248	25	6	[27, 1]
	3	31	337	3	1	[1, 9]
	3	32	480	17	8	[9, 1]
	3	33	256	4	1	[9, 1]
	3	34	896	8	7	[9, 1]
	3	35	528	27	14	[1, 9]
	3	36	320	16	5	[9, 1]
	3	37	665	20	13	[9, 1]
	3	38	602	17	10	[9, 1]
	3	39	339	3	1	[1, 9]
	3	40	513	2	1	[1, 9]
	3	41	934	23	21	[1, 9]
	3	42	89	23	2	[1, 9]
	3	43	1016	1	1	[27, 1]
	3	44	853	6	5	[1, 27]
	3	45	861	25	21	[27, 1]
	3	46	896	8	7	[9, 1]
	3	47	881	7	6	[1, 27]
	3	48	841	17	14	[9, 1]
	3	49	617	5	3	[9, 1]
	4	0	352	26	9	[1, 9]
	4	1	132	23	3	[1, 9]
	4	2	514	2	1	[1, 9]
	4	3	689	3	2	[1, 9]
	4	4	122	25	3	[27, 1]
	4	5	164	25	4	[27, 1]
	4	6	162	19	3	[1, 27]
	4	7	333	25	8	[27, 1]
	4	8	748	26	19	[1, 9]
	4	9	857	25	21	[27, 1]
	4	10	215	19	4	[1, 27]
	4	11	848	23	19	[1, 9]
	4	12	939	12	11	[27, 1]
	4	13	640	8	5	[9, 1]
	4	14	82	25	2	[27, 1]
	4	15	32	27	1	[1, 9]
	4	16	394	13	5	[27, 1]
	4	17	171	6	1	[1, 27]
	4	18	52	20	1	[9, 1]
	4	19	101	10	1	[1, 9]
	4	20	81	25	2	[27, 1]
	4	21	518	2	1	[1, 9]
	4	22	285	18	5	[1, 27]
	4	23	984	26	25	[1, 9]
	4	24	56	18	1	[1, 27]
	4	25	107	19	2	[1, 27]
	4	26	436	26	11	[1, 9]
	4	27	516	2	1	[1, 9]
	4	28	472	13	6	[27, 1]
	4	29	586	7	4	[1, 27]
	4	30	216	19	4	[1, 27]
	4	31	107	19	2	[1, 27]
	4	32	853	6	5	[1, 27]
	4	33	154	20	3	[9, 1]
	4	34	640	8	5	[9, 1]
	4	35	154	20	3	[9, 1]
	4	36	354	26	9	[1, 9]
	4	37	250	25	6	[27, 1]
	4	38	80	13	1	[27, 1]
	4	39	59	17	1	[9, 1]
	4	40	614	5	3	[9, 1]
	4	41	1016	1	1	[27, 1]
	4	42	853	6	5	[1, 27]
	4	43	902	25	22	[27, 1]
	4	44	16	1	0	[27, 1]
	4	45	257	4	1	[9, 1]
	4	46	235	13	3	[27, 1]
	4	47	425	12	5	[27, 1]
	4	48	725	24	17	[27, 1]
	4	49	765	4	3	[9, 1]
	5	0	636	21	13	[9, 1]
	5	1	549	13	7	[27, 1]
	5	2	1021	1	1	[27, 1]
	5	3	309	10	3	[1, 9]
	5	4	480	17	8	[9, 1]
	5	5	725	24	17	[27, 1]
	5	6	948	27	25	[1, 9]
	5	7	2	1	0	[27, 1]
	5	8	295	7	2	[1, 27]
	5	9	250	25	6	[27, 1]
	5	10	116	26	3	[1, 9]
	5	11	1012	1	1	[27, 1]
	5	12	235	13	3	[27, 1]
	5	13	306	10	3	[1, 9]
	5	14	810	24	19	[27, 1]
	5	15	768	4	3	[9, 1]
	5	16	172	6	1	[1, 27]
	5	17	16	1	0	[27, 1]
	5	18	931	11	10	[1, 9]
	5	19	0	0	0	[0, 0]
	5	20	640	8	5	[9, 1]
	5	21	301	17	5	[9, 1]
	5	22	171	6	1	[1, 27]
	5	23	408	5	2	[9, 1]
	5	24	683	3	2	[1, 9]
	5	25	820	5	4	[9, 1]
	5	26	66	16	1	[9, 1]
	5	27	481	17	8	[9, 1]
	5	28	83	25	2	[27, 1]
	5	29	93	11	1	[1, 9]
	5	30	640	8	5	[9, 1]
	5	31	8	1	0	[27, 1]
	5	32	909	9	8	[9, 1]
	5	33	8	1	0	[27, 1]
	5	34	1012	1	1	[27, 1]
	5	35	739	18	13	[1, 27]
	5	36	465	11	5	[1, 9]
	5	37	725	24	17	[27, 1]
	5	38	577	16	9	[9, 1]
	5	39	715	10	7	[1, 9]
	5	40	784	17	13	[9, 1]
	5	41	626	18	11	[1, 27]
	5	42	0	0	0	[0, 0]
	5	43	470	24	11	[27, 1]
	5	44	427	12	5	[27, 1]
	5	45	524	27	14	[1, 9]
	5	46	64	16	1	[9, 1]
	5	47	167	25	4	[27, 1]
	5	48	732	7	5	[1, 27]
	5	49	798	9	7	[9, 1]
	6	0	139	22	3	[1, 9]
	6	1	921	10	9	[1, 9]
	6	2	853	6	5	[1, 27]
	6	3	267	23	6	[1, 9]
	6	4	231	22	5	[1, 9]
	6	5	93	11	1	[1, 9]
	6	6	690	25	17	[27, 1]
	6	7	963	17	16	[9, 1]
	6	8	275	26	7	[1, 9]
	6	9	632	13	8	[27, 1]
	6	10	350	26	9	[1, 9]
	6	11	650	11	7	[1, 9]
	6	12	8	1	0	[27, 1]
	6	13	478	15	7	[1, 9]
	6	14	318	16	5	[9, 1]
	6	15	152	27	4	[1, 9]
	6	16	371	11	4	[1, 9]
	6	17	682	3	2	[1, 9]
	6	18	681	3	2	[1, 9]
	6	19	976	21	20	[9, 1]
	6	20	770	4	3	[9, 1]
	6	21	848	23	19	[1, 9]
	6	22	1022	1	1	[27, 1]
	6	23	83	25	2	[27, 1]
	6	24	350	26	9	[1, 9]
	6	25	171	6	1	[1, 27]
	6	26	329	25	8	[27, 1]
	6	27	999	27	26	[1, 9]
	6	28	939	12	11	[27, 1]
	6	29	747	26	19	[1, 9]
	6	30	705	16	11	[9, 1]
	6	31	723	17	12	[9, 1]
	6	32	949	27	25	[1, 9]
	6	33	438	7	3	[1, 27]
	6	34	869	20	17	[9, 1]
	6	35	341	3	1	[1, 9]
	6	36	511	2	1	[1, 9]
	6	37	318	16	5	[9, 1]
	6	38	173	6	1	[1, 27]
	6	39	847	23	19	[1, 9]
	6	40	919	10	9	[1, 9]
	6	41	396	13	5	[27, 1]
	6	42	90	23	2	[1, 9]
	6	43	161	19	3	[1, 27]
	6	44	821	5	4	[9, 1]
	6	45	61	17	1	[9, 1]
	6	46	784	17	13	[9, 1]
	6	47	639	8	5	[9, 1]
	6	48	17	1	0	[27, 1]
	6	49	417	27	11	[1, 9]
	7	0	0	0	0	[0, 0]
	7	1	27	27	1	[1, 9]
	7	2	974	20	19	[9, 1]
	7	3	856	6	5	[1, 27]
	7	4	635	21	13	[9, 1]
	7	5	601	17	10	[9, 1]
	7	6	941	25	23	[27, 1]
	7	7	170	6	1	[1, 27]
	7	8	290	7	2	[1, 27]
	7	9	812	24	19	[27, 1]
	7	10	693	25	17	[27, 1]
	7	11	179	23	4	[1, 9]
	7	12	512	2	1	[1, 9]
	7	13	952	14	13	[1, 9]
	7	14	448	16	7	[9, 1]
	7	15	342	3	1	[1, 9]
	7	16	910	9	8	[9, 1]
	7	17	767	4	3	[9, 1]
	7	18	693	25	17	[27, 1]
	7	19	459	20	9	[9, 1]
	7	20	223	23	5	[1, 9]
	7	21	539	19	10	[1, 27]
	7	22	695	25	17	[27, 1]
	7	23	375	19	7	[1, 27]
	7	24	784	17	13	[9, 1]
	7	25	909	9	8	[9, 1]
	7	26	179	23	4	[1, 9]
	7	27	620	23	14	[1, 9]
	7	28	536	21	11	[9, 1]
	7	29	520	2	1	[1, 9]
	7	30	621	23	14	[1, 9]
	7	31	202	5	1	[9, 1]
	7	32	550	13	7	[27, 1]
	7	33	479	15	7	[1, 9]
	7	34	448	16	7	[9, 1]
	7	35	484	19	9	[1, 27]
	7	36	560	11	6	[1, 9]
	7	37	739	18	13	[1, 27]
	7	38	77	27	2	[1, 9]
	7	39	220	14	3	[1, 9]
	7	40	386	8	3	[9, 1]
	7	41	174	6	1	[1, 27]
	7	42	773	4	3	[9, 1]
	7	43	315	13	4	[27, 1]
	7	44	695	25	17	[27, 1]
	7	45	168	6	1	[1, 27]
	7	46	231	22	5	[1, 9]
	7	47	510	2	1	[1, 9]
	7	48	408	5	2	[9, 1]
	7	49	877	7	6	[1, 27]
	8	0	940	12	11	[27, 1]
	8	1	626	18	11	[1, 27]
	8	2	799	23	18	[1, 9]
	8	3	246	25	6	[27, 1]
	8	4	478	15	7	[1, 9]
	8	5	108	19	2	[1, 27]
	8	6	764	4	3	[9, 1]
	8	7	921	10	9	[1, 9]
	8	8	75	27	2	[1, 9]
	8	9	37	27	1	[1, 9]
	8	10	9	1	0	[27, 1]
	8	11	826	26	21	[1, 9]
	8	12	71	14	1	[1, 9]
	8	13	405	23	9	[1, 9]
	8	14	127	8	1	[9, 1]
	8	15	235	13	3	[27, 1]
	8	16	739	18	13	[1, 27]
	8	17	993	27	26	[1, 9]
	8	18	691	25	17	[27, 1]
	8	19	819	5	4	[9, 1]
	8	20	832	16	13	[9, 1]
	8	21	875	27	23	[1, 9]
	8	22	204	5	1	[9, 1]
	8	23	157	13	2	[27, 1]
	8	24	149	27	4	[1, 9]
	8	25	612	5	3	[9, 1]
	8	26	412	5	2	[9, 1]
	8	27	156	13	2	[27, 1]
	8	28	307	10	3	[1, 9]
	8	29	613	5	3	[9, 1]
	8	30	196	26	5	[1, 9]
	8	31	1023	1	1	[27, 1]
	8	32	721	27	19	[1, 9]
	8	33	500	27	13	[1, 9]
	8	34	952	14	13	[1, 9]
	8	35	282	18	5	[1, 27]
	8	36	700	19	13	[1, 27]
	8	37	828	26	21	[1, 9]
	8	38	575	16	9	[9, 1]
	8	39	201	5	1	[9, 1]
	8	40	78	13	1	[27, 1]
	8	41	338	3	1	[1, 9]
	8	42	458	20	9	[9, 1]
	8	43	691	25	17	[27, 1]
	8	44	787	13	10	[27, 1]
	8	45	1012	1	1	[27, 1]
	8	46	959	16	15	[9, 1]
	8	47	843	17	14	[9, 1]
	8	48	541	17	9	[9, 1]
	8	49	710	13	9	[27, 1]
	9	0	989	27	26	[1, 9]
	9	1	860	25	21	[27, 1]
	9	2	396	13	5	[27, 1]
	9	3	923	10	9	[1, 9]
	9	4	636	21	13	[9, 1]
	9	5	1018	1	1	[27, 1]
	9	6	713	23	16	[1, 9]
	9	7	414	27	11	[1, 9]
	9	8	175	23	4	[1, 9]
	9	9	3	1	0	[27, 1]
	9	10	758	27	20	[1, 9]
	9	11	937	12	11	[27, 1]
	9	12	623	23	14	[1, 9]
	9	13	436	26	11	[1, 9]
	9	14	382	8	3	[9, 1]
	9	15	615	5	3	[9, 1]
	9	16	409	5	2	[9, 1]
	9	17	886	15	13	[1, 9]
	9	18	339	3	1	[1, 9]
	9	19	927	21	19	[9, 1]
	9	20	930	11	10	[1, 9]
	9	21	459	20	9	[9, 1]
	9	22	946	13	12	[27, 1]
	9	23	883	22	19	[1, 9]
	9	24	45	23	1	[1, 9]
	9	25	143	7	1	[1, 27]
	9	26	233	22	5	[1, 9]
	9	27	229	9	2	[9, 1]
	9	28	610	27	16	[1, 9]
	9	29	786	13	10	[27, 1]
	9	30	6	1	0	[27, 1]
	9	31	416	27	11	[1, 9]
	9	32	173	6	1	[1, 27]
	9	33	461	20	9	[9, 1]
	9	34	471	13	6	[27, 1]
	9	35	759	27	20	[1, 9]
	9	36	648	19	12	[1, 27]
	9	37	580	23	13	[1, 9]
	9	38	679	3	2	[1, 9]
	9	39	103	10	1	[1, 9]
	9	40	397	18	7	[1, 27]
	9	41	256	4	1	[9, 1]
	9	42	425	12	5	[27, 1]
	9	43	250	25	6	[27, 1]
	9	44	137	15	2	[1, 9]
	9	45	864	19	16	[1, 27]
	9	46	129	8	1	[9, 1]
	9	47	92	11	1	[1, 9]
	9	48	823	5	4	[9, 1]
	9	49	224	23	5	[1, 9]
	10	0	107	19	2	[1, 27]
	10	1	306	10	3	[1, 9]
	10	2	51	20	1	[9, 1]
	10	3	65	16	1	[9, 1]
	10	4	506	2	1	[1, 9]
	10	5	307	10	3	[1, 9]
	10	6	497	27	13	[1, 9]
	10	7	155	20	3	[9, 1]
	10	8	582	7	4	[1, 27]
	10	9	911	9	8	[9, 1]
	10	10	282	18	5	[1, 27]
	10	11	252	4	1	[9, 1]
	10	12	464	11	5	[1, 9]
	10	13	577	16	9	[9, 1]
	10	14	251	4	1	[9, 1]
	10	15	246	25	6	[27, 1]
	10	16	569	9	5	[9, 1]
	10	17	663	17	11	[9, 1]
	10	18	883	22	19	[1, 9]
	10	19	713	23	16	[1, 9]
	10	20	107	19	2	[1, 27]
	10	21	1000	27	26	[1, 9]
	10	22	690	25	17	[27, 1]
	10	23	685	3	2	[1, 9]
	10	24	42	24	1	[27, 1]
	10	25	577	16	9	[9, 1]
	10	26	769	4	3	[9, 1]
	10	27	913	9	8	[9, 1]
	10	28	316	13	4	[27, 1]
	10	29	320	16	5	[9, 1]
	10	30	551	13	7	[27, 1]
	10	31	357	23	8	[1, 9]
	10	32	600	17	10	[9, 1]
	10	33	221	14	3	[1, 9]
	10	34	262	27	7	[1, 9]
	10	35	585	7	4	[1, 27]
	10	36	859	25	21	[27, 1]
	10	37	105	10	1	[1, 9]
	10	38	1008	1	1	[27, 1]
	10	39	53	19	1	[1, 27]
	10	40	842	17	14	[9, 1]
	10	41	638	8	5	[9, 1]
	10	42	856	6	5	[1, 27]
	10	43	182	17	3	[9, 1]
	10	44	410	5	2	[9, 1]
	10	45	414	27	11	[1, 9]
	10	46	517	2	1	[1, 9]
	10	47	144	7	1	[1, 27]
	10	48	441	7	3	[1, 27]
	10	49	426	12	5	[27, 1]
	11	0	931	11	10	[1, 9]
	11	1	585	7	4	[1, 27]
	11	2	720	27	19	[1, 9]
	11	3	149	27	4	[1, 9]
	11	4	28	27	1	[1, 9]
	11	5	43	24	1	[27, 1]
	11	6	423	17	7	[9, 1]
	11	7	595	19	11	[1, 27]
	11	8	431	19	8	[1, 27]
	11	9	339	3	1	[1, 9]
	11	10	836	27	22	[1, 9]
	11	11	820	5	4	[9, 1]
	11	12	1020	1	1	[27, 1]
	11	13	1016	1	1	[27, 1]
	11	14	66	16	1	[9, 1]
	11	15	594	19	11	[1, 27]
	11	16	4	1	0	[27, 1]
	11	17	28	27	1	[1, 9]
	11	18	369	25	9	[27, 1]
	11	19	955	15	14	[1, 9]
	11	20	129	8	1	[9, 1]
	11	21	14	1	0	[27, 1]
	11	22	921	10	9	[1, 9]
	11	23	56	18	1	[1, 27]
	11	24	189	27	5	[1, 9]
	11	25	615	5	3	[9, 1]
	11	26	857	25	21	[27, 1]
	11	27	306	10	3	[1, 9]
	11	28	48	21	1	[9, 1]
	11	29	831	16	13	[9, 1]
	11	30	407	5	2	[9, 1]
	11	31	615	5	3	[9, 1]
	11	32	194	21	4	[9, 1]
	11	33	245	25	6	[27, 1]
	11	34	954	15	14	[1, 9]
	11	35	399	18	7	[1, 27]
	11	36	663	17	11	[9, 1]
	11	37	919	10	9	[1, 9]
	11	38	302	17	5	[9, 1]
	11	39	477	15	7	[1, 9]
	11	40	509	2	1	[1, 9]
	11	41	603	17	10	[9, 1]
	11	42	488	21	10	[9, 1]
	11	43	157	13	2	[27, 1]
	11	44	957	15	14	[1, 9]
	11	45	543	17	9	[9, 1]
	11	46	795	9	7	[9, 1]
	11	47	690	25	17	[27, 1]
	11	48	358	20	7	[9, 1]
	11	49	593	19	11	[1, 27]
	12	0	12	1	0	[27, 1]
	12	1	171	6	1	[1, 27]
	12	2	50	20	1	[9, 1]
	12	3	143	7	1	[1, 27]
	12	4	227	9	2	[9, 1]
	12	5	536	21	11	[9, 1]
	12	6	640	8	5	[9, 1]
	12	7	908	26	23	[1, 9]
	12	8	869	20	17	[9, 1]
	12	9	297	24	7	[27, 1]
	12	10	554	24	13	[27, 1]
	12	11	993	27	26	[1, 9]
	12	12	50	20	1	[9, 1]
	12	13	471	13	6	[27, 1]
	12	14	239	17	4	[9, 1]
	12	15	983	25	24	[27, 1]
	12	16	673	26	17	[1, 9]
	12	17	5	1	0	[27, 1]
	12	18	475	13	6	[27, 1]
	12	19	98	21	2	[9, 1]
	12	20	746	11	8	[1, 9]
	12	21	821	5	4	[9, 1]
	12	22	964	17	16	[9, 1]
	12	23	251	4	1	[9, 1]
	12	24	757	23	17	[1, 9]
	12	25	464	11	5	[1, 9]
	12	26	994	27	26	[1, 9]
	12	27	109	19	2	[1, 27]
	12	28	313	23	7	[1, 9]
	12	29	686	3	2	[1, 9]
	12	30	314	13	4	[27, 1]
	12	31	419	22	9	[1, 9]
	12	32	325	22	7	[1, 9]
	12	33	729	7	5	[1, 27]
	12	34	631	13	8	[27, 1]
	12	35	53	19	1	[1, 27]
	12	36	822	5	4	[9, 1]
	12	37	974	20	19	[9, 1]
	12	38	116	26	3	[1, 9]
	12	39	223	23	5	[1, 9]
	12	40	899	25	22	[27, 1]
	12	41	5	1	0	[27, 1]
	12	42	388	21	8	[9, 1]
	12	43	781	21	16	[9, 1]
	12	44	233	22	5	[1, 9]
	12	45	1008	1	1	[27, 1]
	12	46	757	23	17	[1, 9]
	12	47	316	13	4	[27, 1]
	12	48	48	21	1	[9, 1]
	12	49	833	16	13	[9, 1]
	13	0	433	26	11	[1, 9]
	13	1	167	25	4	[27, 1]
	13	2	75	27	2	[1, 9]
	13	3	803	14	11	[1, 9]
	13	4	105	10	1	[1, 9]
	13	5	965	17	16	[9, 1]
	13	6	256	4	1	[9, 1]
	13	7	873	27	23	[1, 9]
	13	8	560	11	6	[1, 9]
	13	9	832	16	13	[9, 1]
	13	10	717	10	7	[1, 9]
	13	11	625	18	11	[1, 27]
	13	12	468	24	11	[27, 1]
	13	13	595	19	11	[1, 27]
	13	14	244	21	5	[9, 1]
	13	15	306	10	3	[1, 9]
	13	16	598	12	7	[27, 1]
	13	17	385	8	3	[9, 1]
	13	18	416	27	11	[1, 9]
	13	19	924	10	9	[1, 9]
	13	20	841	17	14	[9, 1]
	13	21	792	22	17	[1, 9]
	13	22	1009	1	1	[27, 1]
	13	23	28	27	1	[1, 9]
	13	24	861	25	21	[27, 1]
	13	25	759	27	20	[1, 9]
	13	26	725	24	17	[27, 1]
	13	27	15	1	0	[27, 1]
	13	28	581	23	13	[1, 9]
	13	29	761	27	20	[1, 9]
	13	30	865	13	11	[27, 1]
	13	31	83	25	2	[27, 1]
	13	32	438	7	3	[1, 27]
	13	33	246	25	6	[27, 1]
	13	34	472	13	6	[27, 1]
	13	35	175	23	4	[1, 9]
	13	36	853	6	5	[1, 27]
	13	37	244	21	5	[9, 1]
	13	38	61	17	1	[9, 1]
	13	39	762	27	20	[1, 9]
	13	40	727	24	17	[27, 1]
	13	41	350	26	9	[1, 9]
	13	42	196	26	5	[1, 9]
	13	43	741	18	13	[1, 27]
	13	44	708	13	9	[27, 1]
	13	45	216	19	4	[1, 27]
	13	46	18	1	0	[27, 1]
	13	47	862	19	16	[1, 27]
	13	48	328	25	8	[27, 1]
	13	49	842	17	14	[9, 1]
	14	0	481	17	8	[9, 1]
	14	1	825	26	21	[1, 9]
	14	2	466	11	5	[1, 9]
	14	3	685	3	2	[1, 9]
	14	4	1022	1	1	[27, 1]
	14	5	154	20	3	[9, 1]
	14	6	622	23	14	[1, 9]
	14	7	667	23	15	[1, 9]
	14	8	972	20	19	[9, 1]
	14	9	19	27	1	[1, 9]
	14	10	577	16	9	[9, 1]
	14	11	789	13	10	[27, 1]
	14	12	749	26	19	[1, 9]
	14	13	816	5	4	[9, 1]
	14	14	299	24	7	[27, 1]
	14	15	79	13	1	[27, 1]
	14	16	707	13	9	[27, 1]
	14	17	750	15	11	[1, 9]
	14	18	306	10	3	[1, 9]
	14	19	530	27	14	[1, 9]
	14	20	224	23	5	[1, 9]
	14	21	946	13	12	[27, 1]
	14	22	512	2	1	[1, 9]
	14	23	712	23	16	[1, 9]
	14	24	798	9	7	[9, 1]
	14	25	380	27	10	[1, 9]
	14	26	672	26	17	[1, 9]
	14	27	184	11	2	[1, 9]
	14	28	426	12	5	[27, 1]
	14	29	223	23	5	[1, 9]
	14	30	190	27	5	[1, 9]
	14	31	660	14	9	[1, 9]
	14	32	131	23	3	[1, 9]
	14	33	978	22	21	[1, 9]
	14	34	425	12	5	[27, 1]
	14	35	272	15	4	[1, 9]
	14	36	757	23	17	[1, 9]
	14	37	164	25	4	[27, 1]
	14	38	679	3	2	[1, 9]
	14	39	980	23	22	[1, 9]
	14	40	389	21	8	[9, 1]
	14	41	918	19	17	[1, 27]
	14	42	263	27	7	[1, 9]
	14	43	191	16	3	[9, 1]
	14	44	1016	1	1	[27, 1]
	14	45	101	10	1	[1, 9]
	14	46	589	26	15	[1, 9]
	14	47	840	11	9	[1, 9]
	14	48	599	12	7	[27, 1]
	14	49	746	11	8	[1, 9]
	15	0	442	7	3	[1, 27]
	15	1	1021	1	1	[27, 1]
	15	2	356	23	8	[1, 9]
	15	3	84	12	1	[27, 1]
	15	4	544	17	9	[9, 1]
	15	5	138	15	2	[1, 9]
	15	6	68	15	1	[1, 9]
	15	7	736	25	18	[27, 1]
	15	8	342	3	1	[1, 9]
	15	9	560	11	6	[1, 9]
	15	10	88	23	2	[1, 9]
	15	11	222	23	5	[1, 9]
	15	12	601	17	10	[9, 1]
	15	13	686	3	2	[1, 9]
	15	14	256	4	1	[9, 1]
	15	15	446	23	10	[1, 9]
	15	16	351	26	9	[1, 9]
	15	17	974	20	19	[9, 1]
	15	18	479	15	7	[1, 9]
	15	19	906	26	23	[1, 9]
	15	20	46	22	1	[1, 9]
	15	21	61	17	1	[9, 1]
	15	22	807	19	15	[1, 27]
	15	23	834	27	22	[1, 9]
